"id";"table_id";"filename";"cropped_filename";"table_name";"type";"is_cover";"created_at";"updated_at"
"126";"47";"1582563249664_dsc1072.jpg";NULL;"NEWS";"IMAGE";"0";"2020-02-24 15:54:10";"2020-02-24 15:54:10"
"127";"47";"1582563260518_dsc1096.jpg";NULL;"NEWS";"IMAGE";"0";"2020-02-24 15:54:21";"2020-02-24 15:54:21"
"128";"47";"1582563274302_dsc1107.jpg";NULL;"NEWS";"IMAGE";"0";"2020-02-24 15:54:35";"2020-02-24 15:54:35"
"129";"47";"1582563286807_dsc0974.jpg";NULL;"NEWS";"IMAGE";"0";"2020-02-24 15:54:47";"2020-02-24 15:54:47"
"130";"47";"1582563297855_dsc1093.jpg";NULL;"NEWS";"IMAGE";"0";"2020-02-24 15:54:58";"2020-02-24 15:54:58"
"131";"47";"1582563313889_dsc1078.jpg";NULL;"NEWS";"IMAGE";"0";"2020-02-24 15:55:14";"2020-02-24 15:55:14"
"132";"48";"1583265415542_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-03-03 18:59:16";"2020-03-03 18:59:22"
"133";"49";"1584033081575_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-03-12 16:13:52";"2020-03-12 16:14:13"
"134";"50";"1584981288409_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-03-23 15:37:28";"2020-03-23 15:37:32"
"135";"51";"1585159366917_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-03-25 17:02:47";"2020-03-25 17:02:50"
"137";"52";"1585322430033_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-03-27 14:23:11";"2020-03-27 14:23:14"
"138";"52";"1585322447795_perinemilio002.jpg";NULL;"NEWS";"IMAGE";"0";"2020-03-27 14:23:31";"2020-03-27 14:23:31"
"140";"52";"1585322567932_donemilio20013.jpg";NULL;"NEWS";"IMAGE";"0";"2020-03-27 14:25:40";"2020-03-27 14:25:40"
"141";"53";"1585675545043_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-03-31 15:28:24";"2020-03-31 15:28:31"
"142";"54";"1585681993012_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-03-31 17:15:52";"2020-03-31 17:15:55"
"143";"54";"1585682005200_whatsapp_image 20200325 at 11.49.02.jpeg";NULL;"NEWS";"IMAGE";"0";"2020-03-31 17:16:05";"2020-03-31 17:16:05"
"145";"54";"1585682330642_c.png";NULL;"NEWS";"IMAGE";"0";"2020-03-31 17:21:30";"2020-03-31 17:21:30"
"146";"55";"1585739063531_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-04-01 09:07:02";"2020-04-01 09:07:10"
"147";"56";"1586193486843_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-04-06 15:18:07";"2020-04-06 15:18:12"
"148";"56";"1586193503876_d._a. debbi.jpg";NULL;"NEWS";"IMAGE";"0";"2020-04-06 15:18:24";"2020-04-06 15:18:24"
"149";"56";"1586193518053_dsc1403.jpg";NULL;"NEWS";"IMAGE";"0";"2020-04-06 15:18:39";"2020-04-06 15:18:39"
"150";"57";"1586341256127_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-04-08 08:23:39";"2020-04-08 08:23:43"
"151";"58";"1586957974974_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-04-15 11:42:22";"2020-04-15 11:42:26"
"152";"59";"1586959178308_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-04-15 12:02:25";"2020-04-15 12:02:27"
"153";"60";"1587553289771_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-04-22 09:04:20";"2020-04-22 09:04:28"
"154";"61";"1587733057938_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-04-24 11:00:29";"2020-04-24 11:00:34"
"155";"62";"1588159659421_copert.jpg";NULL;"NEWS";"IMAGE";"1";"2020-04-29 09:30:33";"2020-04-29 09:30:37"
